Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,100n,C_0805_2012Metric,78.100000mm,-73.649999mm,0.000000,top
LED1,Red,LED_0805_2012Metric,54.100000mm,-56.020000mm,90.000000,top
LED2,Red,LED_0805_2012Metric,70.100000mm,-56.020000mm,90.000000,top
LED3,Red,LED_0805_2012Metric,86.100000mm,-56.020000mm,90.000000,top
LED4,Red,LED_0805_2012Metric,102.100000mm,-56.020000mm,90.000000,top
Q1,2N7002,SOT-23,57.100000mm,-51.020000mm,0.000000,top
Q2,2N7002,SOT-23,73.100000mm,-51.020000mm,0.000000,top
Q3,2N7002,SOT-23,89.100000mm,-51.020000mm,0.000000,top
Q4,2N7002,SOT-23,105.100000mm,-51.020000mm,0.000000,top
R1,100,R_0805_2012Metric,52.100000mm,-48.020000mm,90.000000,top
R2,100,R_0805_2012Metric,68.100000mm,-48.020000mm,90.000000,top
R3,100,R_0805_2012Metric,84.100000mm,-48.020000mm,90.000000,top
R4,100,R_0805_2012Metric,100.100000mm,-48.020000mm,90.000000,top
R5,10k,R_0805_2012Metric,59.100000mm,-53.020000mm,90.000000,top
R6,10k,R_0805_2012Metric,75.100000mm,-53.020000mm,90.000000,top
R7,10k,R_0805_2012Metric,91.100000mm,-53.020000mm,90.000000,top
R8,10k,R_0805_2012Metric,107.100000mm,-53.020000mm,90.000000,top
R9,330,R_0805_2012Metric,56.100000mm,-56.020000mm,90.000000,top
R10,330,R_0805_2012Metric,72.100000mm,-56.020000mm,90.000000,top
R11,330,R_0805_2012Metric,88.100000mm,-56.020000mm,90.000000,top
R12,330,R_0805_2012Metric,104.100000mm,-56.020000mm,90.000000,top
R13,330,R_0805_2012Metric,49.100000mm,-42.020000mm,90.000000,top
R14,330,R_0805_2012Metric,65.100000mm,-42.020000mm,90.000000,top
R15,330,R_0805_2012Metric,81.100000mm,-42.020000mm,90.000000,top
R16,330,R_0805_2012Metric,97.100000mm,-42.020000mm,90.000000,top
